ChunkID,Seed,X,Y,Z,R,Theta,Type,Mass,Temperature,Luminosity,ColorR,ColorG,ColorB,Population,Region,Planets,IsMultiple,SystemName
0_0_0,524288011,2.39,0.00,44.03,2.39,0.01,K0III,1.006,3500,200.0000,1.000,0.400,0.200,Bulge,Galactic Center,0,False,524288011
0_0_0,524288012,0.48,0.00,50.83,0.48,0.02,NS,1.294,1000000,0.0010,0.700,0.700,1.000,Bulge,Galactic Center,0,False,524288012
0_0_0,524288013,2.57,0.00,53.63,2.57,0.03,K5V,0.707,4200,0.4000,1.000,0.850,0.650,Bulge,Galactic Center,5,False,524288013
0_0_0,524288014,0.66,0.00,56.42,0.66,0.00,M5V,0.328,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,0,False,524288014
0_0_0,524288015,2.75,0.00,63.22,2.75,0.02,M5V,0.354,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,2,False,524288015
0_0_0,524288016,0.84,0.00,66.01,0.84,0.03,K0III,1.039,3500,200.0000,1.000,0.400,0.200,Bulge,Galactic Center,0,False,524288016
0_0_0,524288017,2.93,0.00,68.81,2.93,0.04,NS,1.331,1000000,0.0010,0.700,0.700,1.000,Bulge,Galactic Center,0,True,524288017
0_0_0,524288018,1.02,0.00,75.61,1.02,0.01,K5V,0.725,4200,0.4000,1.000,0.850,0.650,Bulge,Galactic Center,3,False,524288018
0_0_0,524288019,3.11,0.00,78.40,3.11,0.02,M5V,0.337,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,3,False,524288019
0_0_0,524288020,1.20,0.00,81.20,1.20,0.03,M5V,0.242,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,1,False,524288020
0_0_0,524288021,3.29,0.00,87.99,3.29,0.01,K0III,1.071,3500,200.0000,1.000,0.400,0.200,Bulge,Galactic Center,0,False,524288021
0_0_0,524288022,1.38,0.00,90.79,1.38,0.02,DA,0.587,10000,0.0100,0.950,0.950,1.000,Bulge,Galactic Center,0,False,524288022
0_0_0,524288023,3.47,0.00,93.59,3.47,0.03,K5V,0.744,4200,0.4000,1.000,0.850,0.650,Bulge,Galactic Center,6,True,524288023
0_0_0,524288024,1.56,0.00,96.38,1.56,0.00,M5V,0.345,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,1,False,524288024
0_0_0,524288025,3.65,0.00,3.18,3.65,0.05,M5V,0.250,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,3,False,524288025
0_0_0,524288026,1.74,0.00,5.97,1.74,0.07,K0III,1.103,3500,200.0000,1.000,0.400,0.200,Bulge,Galactic Center,0,False,524288026
0_0_0,524288027,3.83,0.01,8.77,3.83,0.08,DA,0.603,10000,0.0100,0.950,0.950,1.000,Bulge,Galactic Center,0,False,524288027
0_0_0,524288028,1.92,0.00,15.56,1.92,0.05,K5V,0.763,4200,0.4000,1.000,0.850,0.650,Bulge,Galactic Center,4,False,524288028
0_0_0,524288029,0.01,0.00,18.36,0.01,0.06,M5V,0.353,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,0,False,524288029
0_0_0,524288030,2.10,0.00,21.16,2.10,0.07,M5V,0.258,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,2,True,524288030
0_0_0,524288031,0.19,0.00,27.95,0.19,0.04,M5V,0.284,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,0,False,524288031
0_0_0,524288032,2.28,0.00,30.75,2.28,0.06,DA,0.619,10000,0.0100,0.950,0.950,1.000,Bulge,Galactic Center,0,True,524288032
0_0_0,524288033,0.37,0.00,33.54,0.37,0.07,K5V,0.782,4200,0.4000,1.000,0.850,0.650,Bulge,Galactic Center,2,False,524288033
0_0_0,524288034,2.46,0.00,36.34,2.46,0.08,M5V,0.241,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,2,False,524288034
0_0_0,524288035,0.55,0.00,43.14,0.55,0.05,M5V,0.266,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,0,False,524288035
0_0_0,524288036,2.64,0.00,45.93,2.64,0.06,M5V,0.292,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,2,False,524288036
0_0_0,524288037,0.73,0.00,48.73,0.73,0.07,DA,0.635,10000,0.0100,0.950,0.950,1.000,Bulge,Galactic Center,0,False,524288037
0_0_0,524288038,2.82,0.00,55.52,2.82,0.05,G5V,1.144,5500,1.0000,1.000,1.000,0.800,Bulge,Galactic Center,7,False,524288038
0_0_0,524288039,0.91,0.00,58.32,0.91,0.06,M5V,0.249,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,0,False,524288039
0_0_0,524288040,3.00,0.00,61.12,3.00,0.07,M5V,0.274,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,2,False,524288040
0_0_0,524288041,1.09,0.00,67.91,1.09,0.04,M5V,0.300,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,1,False,524288041
0_0_0,524288042,3.17,0.00,70.71,3.17,0.05,DA,0.651,10000,0.0100,0.950,0.950,1.000,Bulge,Galactic Center,0,False,524288042
0_0_0,524288043,1.26,0.00,73.50,1.26,0.06,G5V,1.171,5500,1.0000,1.000,1.000,0.800,Bulge,Galactic Center,4,False,524288043
0_0_0,524288044,3.35,0.00,76.30,3.35,0.08,M5V,0.257,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,3,False,524288044
0_0_0,524288045,1.44,0.00,83.10,1.44,0.05,M5V,0.282,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,1,True,524288045
0_0_0,524288046,3.53,0.00,85.89,3.53,0.06,M5V,0.308,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,3,False,524288046
0_0_0,524288047,1.62,0.00,88.69,1.62,0.07,K0III,1.335,3500,200.0000,1.000,0.400,0.200,Bulge,Galactic Center,0,False,524288047
0_0_0,524288048,3.71,0.00,95.48,3.71,0.04,NS,1.677,1000000,0.0010,0.700,0.700,1.000,Bulge,Galactic Center,0,False,524288048
0_0_0,524288049,1.80,0.00,98.28,1.80,0.05,M5V,0.265,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,1,False,524288049
0_0_0,524288050,3.89,0.01,1.08,3.89,0.11,M5V,0.291,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,3,False,524288050
0_0_0,524288051,1.98,0.00,7.87,1.98,0.12,M5V,0.316,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,1,False,524288051
0_0_0,524288052,0.07,0.00,10.67,0.07,0.09,K0III,1.367,3500,200.0000,1.000,0.400,0.200,Bulge,Galactic Center,0,True,524288052
0_0_0,524288053,2.16,0.00,13.46,2.16,0.10,NS,1.154,1000000,0.0010,0.700,0.700,1.000,Bulge,Galactic Center,0,True,524288053
0_0_0,524288054,0.25,0.00,16.26,0.25,0.11,K5V,0.637,4200,0.4000,1.000,0.850,0.650,Bulge,Galactic Center,2,False,524288054
0_0_0,524288055,2.34,0.00,23.06,2.34,0.09,M5V,0.299,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,2,False,524288055
0_0_0,524288056,0.43,0.00,25.85,0.43,0.10,M5V,0.324,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,0,False,524288056
0_0_0,524288057,2.52,0.00,28.65,2.52,0.11,K0III,1.399,3500,200.0000,1.000,0.400,0.200,Bulge,Galactic Center,0,False,524288057
0_0_0,524288058,0.61,0.00,35.44,0.61,0.08,NS,1.192,1000000,0.0010,0.700,0.700,1.000,Bulge,Galactic Center,0,False,524288058
0_0_0,524288059,2.70,0.00,38.24,2.70,0.09,K5V,0.656,4200,0.4000,1.000,0.850,0.650,Bulge,Galactic Center,5,False,524288059
0_0_0,524288060,0.79,0.00,41.04,0.79,0.10,M5V,0.307,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,0,False,524288060
0_0_0,524288061,2.88,0.01,47.83,2.88,0.12,M5V,0.332,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,2,False,524288061
0_0_0,524288062,0.97,0.00,50.63,0.97,0.09,K0III,1.432,3500,200.0000,1.000,0.400,0.200,Bulge,Galactic Center,0,False,524288062
0_0_0,524288063,3.06,0.01,53.42,3.06,0.10,DA,0.527,10000,0.0100,0.950,0.950,1.000,Bulge,Galactic Center,0,False,524288063
0_0_0,524288064,1.15,0.00,56.22,1.15,0.11,K5V,0.675,4200,0.4000,1.000,0.850,0.650,Bulge,Galactic Center,3,False,524288064
0_0_0,524288065,3.24,0.00,63.02,3.24,0.08,M5V,0.315,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,3,False,524288065
0_0_0,524288066,1.33,0.00,65.81,1.33,0.09,M5V,0.340,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,1,False,524288066
0_0_0,524288067,3.42,0.01,68.61,3.42,0.11,K0III,0.984,3500,200.0000,1.000,0.400,0.200,Bulge,Galactic Center,0,False,524288067
0_0_0,524288068,1.51,0.00,75.40,1.51,0.12,DA,0.543,10000,0.0100,0.950,0.950,1.000,Bulge,Galactic Center,0,True,524288068
0_0_0,524288069,3.60,0.01,78.20,3.60,0.09,K5V,0.693,4200,0.4000,1.000,0.850,0.650,Bulge,Galactic Center,6,False,524288069
0_0_0,524288070,1.69,0.00,80.99,1.69,0.10,M5V,0.323,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,1,False,524288070
0_0_0,524288071,3.78,0.01,87.79,3.78,0.11,M5V,0.348,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,3,False,524288071
0_0_0,524288072,1.87,0.00,90.59,1.87,0.08,M5V,0.254,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,1,False,524288072
0_0_0,524288073,3.96,0.01,93.38,3.96,0.10,DA,0.559,10000,0.0100,0.950,0.950,1.000,Bulge,Galactic Center,0,False,524288073
0_0_0,524288074,2.05,0.00,96.18,2.05,0.11,K5V,0.712,4200,0.4000,1.000,0.850,0.650,Bulge,Galactic Center,4,True,524288074
0_0_0,524288075,0.13,0.00,2.97,0.13,0.12,M5V,0.331,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,0,False,524288075
0_0_0,524288076,2.22,0.01,5.77,2.22,0.13,M5V,0.356,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,2,False,524288076
0_0_0,524288077,0.31,0.00,8.57,0.31,0.14,M5V,0.262,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,0,False,524288077
0_0_0,524288078,2.40,0.01,15.36,2.40,0.16,DA,0.575,10000,0.0100,0.950,0.950,1.000,Bulge,Galactic Center,0,False,524288078
0_0_0,524288079,0.49,0.00,18.16,0.49,0.13,G5V,1.044,5500,1.0000,1.000,1.000,0.800,Bulge,Galactic Center,3,False,524288079
0_0_0,524288080,2.58,0.01,20.95,2.58,0.14,M5V,0.339,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,2,False,524288080
0_0_0,524288081,0.67,0.00,27.75,0.67,0.15,M5V,0.245,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,0,False,524288081
0_0_0,524288082,2.76,0.01,30.55,2.76,0.12,M5V,0.270,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,2,False,524288082
0_0_0,524288083,0.85,0.00,33.34,0.85,0.13,DA,0.592,10000,0.0100,0.950,0.950,1.000,Bulge,Galactic Center,0,True,524288083
0_0_0,524288084,2.94,0.01,36.14,2.94,0.15,G5V,1.071,5500,1.0000,1.000,1.000,0.800,Bulge,Galactic Center,7,False,524288084
0_0_0,524288085,1.03,0.00,42.93,1.03,0.16,M5V,0.347,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,1,False,524288085
0_0_0,524288086,3.12,0.01,45.73,3.12,0.13,M5V,0.253,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,3,False,524288086
0_0_0,524288087,1.21,0.00,48.53,1.21,0.14,M5V,0.278,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,1,False,524288087
0_0_0,524288088,3.30,0.01,55.32,3.30,0.15,K0III,1.215,3500,200.0000,1.000,0.400,0.200,Bulge,Galactic Center,0,False,524288088
0_0_0,524288089,1.39,0.00,58.12,1.39,0.12,NS,1.537,1000000,0.0010,0.700,0.700,1.000,Bulge,Galactic Center,0,True,524288089
0_0_0,524288090,3.48,0.01,60.91,3.48,0.14,M5V,0.355,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,3,False,524288090
0_0_0,524288091,1.57,0.00,67.71,1.57,0.15,M5V,0.261,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,1,False,524288091
0_0_0,524288092,3.66,0.01,70.51,3.66,0.16,M5V,0.286,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,3,False,524288092
0_0_0,524288093,1.75,0.00,73.30,1.75,0.13,K0III,1.248,3500,200.0000,1.000,0.400,0.200,Bulge,Galactic Center,0,False,524288093
0_0_0,524288094,3.84,0.01,76.10,3.84,0.14,NS,1.575,1000000,0.0010,0.700,0.700,1.000,Bulge,Galactic Center,0,False,524288094
0_0_0,524288095,1.93,0.01,82.89,1.93,0.15,M5V,0.243,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,1,False,524288095
0_0_0,524288096,0.02,0.00,85.69,0.02,0.13,M5V,0.269,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,0,True,524288096
0_0_0,524288097,2.11,0.01,88.49,2.11,0.14,M5V,0.294,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,2,False,524288097
0_0_0,524288098,0.20,0.00,95.28,0.20,0.15,K0III,1.280,3500,200.0000,1.000,0.400,0.200,Bulge,Galactic Center,0,False,524288098
0_0_0,524288099,2.29,0.00,98.08,2.29,0.12,NS,1.613,1000000,0.0010,0.700,0.700,1.000,Bulge,Galactic Center,0,False,524288099
0_0_0,524288100,0.38,0.00,0.87,0.38,0.17,K5V,0.586,4200,0.4000,1.000,0.850,0.650,Bulge,Galactic Center,2,False,524288100
0_0_0,524288101,2.47,0.01,7.67,2.47,0.19,M5V,0.277,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,2,False,524288101
0_0_0,524288102,0.56,0.00,10.47,0.56,0.20,M5V,0.302,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,0,False,524288102
0_0_0,524288103,2.65,0.01,13.26,2.65,0.17,K0III,1.312,3500,200.0000,1.000,0.400,0.200,Bulge,Galactic Center,0,True,524288103
0_0_0,524288104,0.74,0.00,16.06,0.74,0.18,DA,0.707,10000,0.0100,0.950,0.950,1.000,Bulge,Galactic Center,0,True,524288104
0_0_0,524288105,2.83,0.01,22.85,2.83,0.19,K5V,0.605,4200,0.4000,1.000,0.850,0.650,Bulge,Galactic Center,5,False,524288105
0_0_0,524288106,0.92,0.00,25.65,0.92,0.16,M5V,0.285,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,0,False,524288106
0_0_0,524288107,3.01,0.01,28.44,3.01,0.18,M5V,0.310,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,3,False,524288107
0_0_0,524288108,1.10,0.00,35.24,1.10,0.19,K0III,1.344,3500,200.0000,1.000,0.400,0.200,Bulge,Galactic Center,0,False,524288108
0_0_0,524288109,3.18,0.01,38.04,3.18,0.20,DA,0.483,10000,0.0100,0.950,0.950,1.000,Bulge,Galactic Center,0,False,524288109
0_0_0,524288110,1.27,0.00,40.83,1.27,0.17,K5V,0.624,4200,0.4000,1.000,0.850,0.650,Bulge,Galactic Center,3,False,524288110
0_0_0,524288111,3.36,0.01,47.63,3.36,0.18,M5V,0.293,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,3,False,524288111
0_0_0,524288112,1.45,0.00,50.42,1.45,0.19,M5V,0.319,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,1,False,524288112
0_0_0,524288113,3.54,0.01,53.22,3.54,0.17,M5V,0.344,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,3,False,524288113
0_0_0,524288114,1.63,0.01,56.02,1.63,0.18,DA,0.500,10000,0.0100,0.950,0.950,1.000,Bulge,Galactic Center,0,False,524288114
0_0_0,524288115,3.72,0.01,62.81,3.72,0.19,K5V,0.643,4200,0.4000,1.000,0.850,0.650,Bulge,Galactic Center,6,False,524288115
0_0_0,524288116,1.81,0.01,65.61,1.81,0.16,M5V,0.301,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,1,False,524288116
0_0_0,524288117,3.90,0.01,68.40,3.90,0.17,M5V,0.327,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,3,False,524288117
0_0_0,524288118,1.99,0.01,75.20,1.99,0.18,M5V,0.352,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,1,True,524288118
0_0_0,524288119,0.08,0.00,78.00,0.08,0.20,DA,0.516,10000,0.0100,0.950,0.950,1.000,Bulge,Galactic Center,0,True,524288119
0_0_0,524288120,2.17,0.01,80.79,2.17,0.17,G5V,0.945,5500,1.0000,1.000,1.000,0.800,Bulge,Galactic Center,6,False,524288120
0_0_0,524288121,0.26,0.00,87.59,0.26,0.18,M5V,0.309,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,0,False,524288121
0_0_0,524288122,2.35,0.01,90.38,2.35,0.19,M5V,0.335,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,2,False,524288122
0_0_0,524288123,0.44,0.00,93.18,0.44,0.16,M5V,0.240,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,0,False,524288123
0_0_0,524288124,2.53,0.01,99.98,2.53,0.18,DA,0.532,10000,0.0100,0.950,0.950,1.000,Bulge,Galactic Center,0,False,524288124
0_0_0,524288125,0.62,0.00,2.77,0.62,0.23,G5V,0.972,5500,1.0000,1.000,1.000,0.800,Bulge,Galactic Center,3,True,524288125
0_0_0,524288126,2.71,0.01,5.57,2.71,0.24,M5V,0.317,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,2,False,524288126
0_0_0,524288127,0.80,0.00,8.36,0.80,0.21,M5V,0.343,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,0,False,524288127
0_0_0,524288128,2.89,0.01,15.16,2.89,0.22,M5V,0.248,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,2,False,524288128
0_0_0,524288129,0.98,0.00,17.96,0.98,0.23,K0III,1.096,3500,200.0000,1.000,0.400,0.200,Bulge,Galactic Center,0,False,524288129
0_0_0,524288130,3.07,0.01,20.75,3.07,0.21,NS,1.398,1000000,0.0010,0.700,0.700,1.000,Bulge,Galactic Center,0,False,524288130
0_0_0,524288131,1.16,0.00,27.55,1.16,0.22,M5V,0.325,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,1,False,524288131
0_0_0,524288132,3.25,0.01,30.34,3.25,0.23,M5V,0.351,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,3,False,524288132
0_0_0,524288133,1.34,0.00,33.14,1.34,0.20,M5V,0.256,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,1,False,524288133
0_0_0,524288134,3.43,0.01,39.94,3.43,0.21,K0III,1.128,3500,200.0000,1.000,0.400,0.200,Bulge,Galactic Center,0,False,524288134
0_0_0,524288135,1.52,0.01,42.73,1.52,0.22,NS,1.436,1000000,0.0010,0.700,0.700,1.000,Bulge,Galactic Center,0,False,524288135
0_0_0,524288136,3.61,0.01,45.53,3.61,0.24,M5V,0.333,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,3,False,524288136
0_0_0,524288137,1.70,0.01,48.32,1.70,0.21,M5V,0.359,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,1,False,524288137
0_0_0,524288138,3.79,0.01,55.12,3.79,0.22,M5V,0.264,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,3,False,524288138
0_0_0,524288139,1.88,0.01,57.92,1.88,0.23,K0III,1.160,3500,200.0000,1.000,0.400,0.200,Bulge,Galactic Center,0,False,524288139
0_0_0,524288140,3.97,0.01,60.71,3.97,0.20,NS,1.473,1000000,0.0010,0.700,0.700,1.000,Bulge,Galactic Center,0,True,524288140
0_0_0,524288141,2.06,0.01,67.51,2.06,0.21,K5V,0.796,4200,0.4000,1.000,0.850,0.650,Bulge,Galactic Center,4,False,524288141
0_0_0,524288142,0.14,0.00,70.30,0.14,0.23,M5V,0.247,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,0,False,524288142
0_0_0,524288143,2.23,0.01,73.10,2.23,0.24,M5V,0.273,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,2,False,524288143
0_0_0,524288144,0.32,0.00,79.90,0.32,0.21,K0III,1.193,3500,200.0000,1.000,0.400,0.200,Bulge,Galactic Center,0,False,524288144
0_0_0,524288145,2.41,0.01,82.69,2.41,0.22,NS,1.511,1000000,0.0010,0.700,0.700,1.000,Bulge,Galactic Center,0,False,524288145
0_0_0,524288146,0.50,0.00,85.49,0.50,0.23,K5V,0.815,4200,0.4000,1.000,0.850,0.650,Bulge,Galactic Center,2,False,524288146
0_0_0,524288147,2.59,0.01,88.28,2.59,0.21,M5V,0.255,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,2,True,524288147
0_0_0,524288148,0.68,0.00,95.08,0.68,0.22,M5V,0.281,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,0,False,524288148
0_0_0,524288149,2.77,0.01,97.87,2.77,0.23,K0III,1.225,3500,200.0000,1.000,0.400,0.200,Bulge,Galactic Center,0,False,524288149
0_0_0,524288150,0.86,0.00,0.67,0.86,0.24,DA,0.664,10000,0.0100,0.950,0.950,1.000,Bulge,Galactic Center,0,False,524288150
0_0_0,524288151,2.95,0.01,7.47,2.95,0.25,K5V,0.834,4200,0.4000,1.000,0.850,0.650,Bulge,Galactic Center,5,False,524288151
0_0_0,524288152,1.04,0.00,10.26,1.04,0.26,M5V,0.263,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,1,False,524288152
0_0_0,524288153,3.13,0.02,13.06,3.13,0.28,M5V,0.289,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,3,False,524288153
0_0_0,524288154,1.22,0.01,19.85,1.22,0.25,M5V,0.314,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,1,False,524288154
0_0_0,524288155,3.31,0.01,22.65,3.31,0.26,DA,0.680,10000,0.0100,0.950,0.950,1.000,Bulge,Galactic Center,0,True,524288155
0_0_0,524288156,1.40,0.01,25.45,1.40,0.27,K5V,0.573,4200,0.4000,1.000,0.850,0.650,Bulge,Galactic Center,3,False,524288156
0_0_0,524288157,3.49,0.01,28.24,3.49,0.24,M5V,0.271,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,3,False,524288157
0_0_0,524288158,1.58,0.01,35.04,1.58,0.25,M5V,0.297,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,1,False,524288158
0_0_0,524288159,3.67,0.02,37.83,3.67,0.27,M5V,0.322,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,3,False,524288159
0_0_0,524288160,1.76,0.01,40.63,1.76,0.28,DA,0.696,10000,0.0100,0.950,0.950,1.000,Bulge,Galactic Center,0,False,524288160
0_0_0,524288161,3.85,0.02,47.43,3.85,0.25,G5V,0.845,5500,1.0000,1.000,1.000,0.800,Bulge,Galactic Center,8,False,524288161
0_0_0,524288162,1.94,0.01,50.22,1.94,0.26,M5V,0.279,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,1,False,524288162
0_0_0,524288163,0.03,0.00,53.02,0.03,0.27,M5V,0.305,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,0,False,524288163
0_0_0,524288164,2.12,0.01,59.81,2.12,0.24,M5V,0.330,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,2,False,524288164
0_0_0,524288165,0.21,0.00,62.61,0.21,0.26,DA,0.712,10000,0.0100,0.950,0.950,1.000,Bulge,Galactic Center,0,False,524288165
0_0_0,524288166,2.30,0.01,65.41,2.30,0.27,G5V,0.872,5500,1.0000,1.000,1.000,0.800,Bulge,Galactic Center,6,False,524288166
0_0_0,524288167,0.39,0.00,68.20,0.39,0.28,M5V,0.287,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,0,False,524288167
0_0_0,524288168,2.48,0.01,75.00,2.48,0.25,M5V,0.313,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,2,False,524288168
0_0_0,524288169,0.57,0.00,77.79,0.57,0.26,M5V,0.338,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,0,True,524288169
0_0_0,524288170,2.66,0.01,80.59,2.66,0.28,DA,0.488,10000,0.0100,0.950,0.950,1.000,Bulge,Galactic Center,0,True,524288170
0_0_0,524288171,0.75,0.00,87.39,0.75,0.25,NS,1.259,1000000,0.0010,0.700,0.700,1.000,Bulge,Galactic Center,0,True,524288171
0_0_0,524288172,2.84,0.01,90.18,2.84,0.26,M5V,0.295,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,2,False,524288172
0_0_0,524288173,0.93,0.00,92.98,0.93,0.27,M5V,0.321,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,0,False,524288173
0_0_0,524288174,3.02,0.01,99.77,3.02,0.24,M5V,0.347,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,3,False,524288174
0_0_0,524288175,1.11,0.01,2.57,1.11,0.29,K0III,1.009,3500,200.0000,1.000,0.400,0.200,Bulge,Galactic Center,0,False,524288175
