ChunkID,Seed,X,Y,Z,R,Theta,Type,Mass,Temperature,Luminosity,ColorR,ColorG,ColorB,Population,Region,Planets,IsMultiple,SystemName
1_0_0,550280101911,102.89,0.04,77.99,102.89,0.02,K5V,0.744,4200,0.4000,1.000,0.850,0.650,Bulge,Central Molecular Zone,5,False,550280101911
1_0_0,550280101912,101.30,0.00,80.32,101.30,0.00,M5V,0.345,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,0,False,550280101912
1_0_0,550280101913,103.04,0.02,85.98,103.04,0.01,M5V,0.250,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,2,False,550280101913
1_0_0,550280101914,101.45,0.04,88.31,101.45,0.02,M5V,0.276,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,0,False,550280101914
1_0_0,550280101915,103.19,0.06,90.64,103.19,0.03,DA,0.603,10000,0.0100,0.950,0.950,1.000,Bulge,Central Molecular Zone,0,False,550280101915
1_0_0,550280101916,101.60,0.01,96.30,101.60,0.01,G5V,1.090,5500,1.0000,1.000,1.000,0.800,Bulge,Central Molecular Zone,4,False,550280101916
1_0_0,550280101917,100.01,0.03,98.63,100.01,0.02,M5V,0.353,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,2,False,550280101917
1_0_0,550280101918,101.75,0.11,0.96,101.75,0.06,M5V,0.258,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,1,False,550280101918
1_0_0,550280101919,100.16,0.06,6.63,100.16,0.04,M5V,0.284,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,3,False,550280101919
1_0_0,550280101920,101.90,0.08,8.96,101.90,0.05,DA,0.619,10000,0.0100,0.950,0.950,1.000,Bulge,Central Molecular Zone,0,False,550280101920
1_0_0,550280101921,100.31,0.10,11.29,100.31,0.06,G5V,1.117,5500,1.0000,1.000,1.000,0.800,Bulge,Central Molecular Zone,7,False,550280101921
1_0_0,550280101922,102.05,0.12,13.62,102.05,0.07,M5V,0.241,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,1,False,550280101922
1_0_0,550280101923,100.46,0.07,19.28,100.46,0.04,M5V,0.266,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,3,False,550280101923
1_0_0,550280101924,102.20,0.09,21.61,102.20,0.05,M5V,0.292,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,1,False,550280101924
1_0_0,550280101925,100.61,0.11,23.94,100.61,0.06,DA,0.635,10000,0.0100,0.950,0.950,1.000,Bulge,Central Molecular Zone,0,True,550280101925
1_0_0,550280101926,102.35,0.07,29.60,102.35,0.04,F0V,1.601,6500,3.5000,1.000,1.000,0.950,Bulge,Central Molecular Zone,3,False,550280101926
1_0_0,550280101927,100.75,0.08,31.93,100.75,0.05,M5V,0.249,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,3,False,550280101927
1_0_0,550280101928,102.50,0.10,34.26,102.50,0.06,M5V,0.274,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,1,False,550280101928
1_0_0,550280101929,100.90,0.06,39.93,100.90,0.03,M5V,0.300,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,0,False,550280101929
1_0_0,550280101930,102.65,0.08,42.26,102.65,0.04,K0III,1.303,3500,200.0000,1.000,0.400,0.200,Bulge,Central Molecular Zone,0,False,550280101930
1_0_0,550280101931,101.05,0.09,44.59,101.05,0.05,NS,1.639,1000000,0.0010,0.700,0.700,1.000,Bulge,Central Molecular Zone,0,False,550280101931
1_0_0,550280101932,102.80,0.11,46.92,102.80,0.06,M5V,0.257,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,2,True,550280101932
1_0_0,550280101933,101.20,0.07,52.58,101.20,0.04,M5V,0.282,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,0,False,550280101933
1_0_0,550280101934,102.94,0.09,54.91,102.94,0.05,M5V,0.308,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,2,False,550280101934
1_0_0,550280101935,101.35,0.11,57.24,101.35,0.06,K0III,1.335,3500,200.0000,1.000,0.400,0.200,Bulge,Central Molecular Zone,0,False,550280101935
1_0_0,550280101936,103.09,0.06,62.90,103.09,0.04,NS,1.677,1000000,0.0010,0.700,0.700,1.000,Bulge,Central Molecular Zone,0,False,550280101936
1_0_0,550280101937,101.50,0.08,65.23,101.50,0.05,K5V,0.618,4200,0.4000,1.000,0.850,0.650,Bulge,Central Molecular Zone,2,False,550280101937
1_0_0,550280101938,103.24,0.10,67.56,103.24,0.06,M5V,0.291,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,2,False,550280101938
1_0_0,550280101939,101.65,0.12,73.23,101.65,0.07,M5V,0.316,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,0,False,550280101939
1_0_0,550280101940,100.06,0.07,75.56,100.06,0.04,K0III,1.367,3500,200.0000,1.000,0.400,0.200,Bulge,Central Molecular Zone,0,False,550280101940
1_0_0,550280101941,101.80,0.09,77.89,101.80,0.05,NS,1.154,1000000,0.0010,0.700,0.700,1.000,Bulge,Central Molecular Zone,0,True,550280101941
1_0_0,550280101942,100.21,0.11,80.22,100.21,0.06,K5V,0.637,4200,0.4000,1.000,0.850,0.650,Bulge,Central Molecular Zone,6,False,550280101942
1_0_0,550280101943,101.95,0.07,85.88,101.95,0.04,M5V,0.299,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,1,False,550280101943
1_0_0,550280101944,100.36,0.08,88.21,100.36,0.05,M5V,0.324,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,3,False,550280101944
1_0_0,550280101945,102.10,0.10,90.54,102.10,0.06,K0III,1.399,3500,200.0000,1.000,0.400,0.200,Bulge,Central Molecular Zone,0,False,550280101945
1_0_0,550280101946,100.51,0.06,96.20,100.51,0.03,DA,0.511,10000,0.0100,0.950,0.950,1.000,Bulge,Central Molecular Zone,0,False,550280101946
1_0_0,550280101947,102.25,0.08,98.53,102.25,0.04,K5V,0.656,4200,0.4000,1.000,0.850,0.650,Bulge,Central Molecular Zone,4,True,550280101947
1_0_0,550280101948,100.66,0.15,0.86,100.66,0.09,M5V,0.307,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,3,False,550280101948
1_0_0,550280101949,102.40,0.17,6.53,102.40,0.10,M5V,0.332,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,1,False,550280101949
1_0_0,550280101950,100.81,0.13,8.86,100.81,0.07,K0III,1.432,3500,200.0000,1.000,0.400,0.200,Bulge,Central Molecular Zone,0,False,550280101950
1_0_0,550280101951,102.55,0.15,11.19,102.55,0.08,DA,0.527,10000,0.0100,0.950,0.950,1.000,Bulge,Central Molecular Zone,0,False,550280101951
1_0_0,550280101952,100.96,0.16,13.52,100.96,0.09,K5V,0.675,4200,0.4000,1.000,0.850,0.650,Bulge,Central Molecular Zone,2,False,550280101952
1_0_0,550280101953,102.70,0.12,19.18,102.70,0.07,M5V,0.315,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,2,False,550280101953
1_0_0,550280101954,101.11,0.14,21.51,101.11,0.08,M5V,0.340,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,0,True,550280101954
1_0_0,550280101955,102.85,0.16,23.84,102.85,0.09,M5V,0.246,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,2,False,550280101955
1_0_0,550280101956,101.26,0.17,29.50,101.26,0.10,DA,0.543,10000,0.0100,0.950,0.950,1.000,Bulge,Central Molecular Zone,0,True,550280101956
1_0_0,550280101957,103.00,0.13,31.83,103.00,0.07,G5V,0.991,5500,1.0000,1.000,1.000,0.800,Bulge,Central Molecular Zone,6,False,550280101957
1_0_0,550280101958,101.41,0.15,34.16,101.41,0.08,M5V,0.323,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,0,False,550280101958
1_0_0,550280101959,103.15,0.17,39.83,103.15,0.09,M5V,0.348,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,2,False,550280101959
1_0_0,550280101960,101.55,0.13,42.16,101.55,0.07,M5V,0.254,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,0,False,550280101960
1_0_0,550280101961,103.30,0.15,44.49,103.30,0.08,DA,0.559,10000,0.0100,0.950,0.950,1.000,Bulge,Central Molecular Zone,0,False,550280101961
1_0_0,550280101962,101.70,0.16,46.82,101.70,0.09,G5V,1.017,5500,1.0000,1.000,1.000,0.800,Bulge,Central Molecular Zone,4,False,550280101962
1_0_0,550280101963,100.11,0.12,52.48,100.11,0.07,M5V,0.331,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,3,False,550280101963
1_0_0,550280101964,101.85,0.14,54.81,101.85,0.08,M5V,0.356,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,1,False,550280101964
1_0_0,550280101965,100.26,0.15,57.14,100.26,0.09,M5V,0.262,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,3,False,550280101965
1_0_0,550280101966,102.00,0.17,62.80,102.00,0.10,DA,0.575,10000,0.0100,0.950,0.950,1.000,Bulge,Central Molecular Zone,0,False,550280101966
1_0_0,550280101967,100.41,0.13,65.13,100.41,0.07,G5V,1.044,5500,1.0000,1.000,1.000,0.800,Bulge,Central Molecular Zone,8,False,550280101967
1_0_0,550280101968,102.15,0.15,67.46,102.15,0.08,M5V,0.339,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,1,False,550280101968
1_0_0,550280101969,100.56,0.16,73.13,100.56,0.09,M5V,0.245,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,3,False,550280101969
1_0_0,550280101970,102.30,0.12,75.46,102.30,0.07,M5V,0.270,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,1,False,550280101970
1_0_0,550280101971,100.71,0.14,77.79,100.71,0.08,K0III,1.183,3500,200.0000,1.000,0.400,0.200,Bulge,Central Molecular Zone,0,False,550280101971
1_0_0,550280101972,102.45,0.16,80.12,102.45,0.09,NS,1.500,1000000,0.0010,0.700,0.700,1.000,Bulge,Central Molecular Zone,0,False,550280101972
1_0_0,550280101973,100.86,0.17,85.78,100.86,0.10,M5V,0.347,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,3,False,550280101973
1_0_0,550280101974,102.60,0.13,88.11,102.60,0.07,M5V,0.253,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,2,False,550280101974
1_0_0,550280101975,101.01,0.15,90.44,101.01,0.08,M5V,0.278,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,0,False,550280101975
1_0_0,550280101976,102.75,0.17,96.10,102.75,0.09,K0III,1.215,3500,200.0000,1.000,0.400,0.200,Bulge,Central Molecular Zone,0,True,550280101976
1_0_0,550280101977,101.16,0.12,98.43,101.16,0.07,NS,1.537,1000000,0.0010,0.700,0.700,1.000,Bulge,Central Molecular Zone,0,True,550280101977
1_0_0,550280101978,102.90,0.20,0.76,102.90,0.11,K5V,0.828,4200,0.4000,1.000,0.850,0.650,Bulge,Central Molecular Zone,5,False,550280101978
1_0_0,550280101979,101.31,0.22,6.42,101.31,0.12,M5V,0.261,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,0,False,550280101979
1_0_0,550280101980,103.05,0.24,8.75,103.05,0.13,M5V,0.286,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,2,False,550280101980
1_0_0,550280101981,101.46,0.19,11.08,101.46,0.11,K0III,1.248,3500,200.0000,1.000,0.400,0.200,Bulge,Central Molecular Zone,0,False,550280101981
1_0_0,550280101982,103.20,0.21,13.41,103.20,0.12,NS,1.575,1000000,0.0010,0.700,0.700,1.000,Bulge,Central Molecular Zone,0,False,550280101982
1_0_0,550280101983,101.61,0.23,19.08,101.61,0.13,K5V,0.567,4200,0.4000,1.000,0.850,0.650,Bulge,Central Molecular Zone,3,False,550280101983
1_0_0,550280101984,100.02,0.18,21.41,100.02,0.11,M5V,0.269,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,2,False,550280101984
1_0_0,550280101985,101.76,0.20,23.74,101.76,0.12,M5V,0.294,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,1,False,550280101985
1_0_0,550280101986,100.16,0.22,29.40,100.17,0.13,K0III,1.280,3500,200.0000,1.000,0.400,0.200,Bulge,Central Molecular Zone,0,False,550280101986
1_0_0,550280101987,101.91,0.18,31.73,101.91,0.10,DA,0.691,10000,0.0100,0.950,0.950,1.000,Bulge,Central Molecular Zone,0,False,550280101987
1_0_0,550280101988,100.31,0.19,34.06,100.31,0.11,K5V,0.586,4200,0.4000,1.000,0.850,0.650,Bulge,Central Molecular Zone,6,False,550280101988
1_0_0,550280101989,102.06,0.22,39.72,102.06,0.12,M5V,0.277,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,1,False,550280101989
1_0_0,550280101990,100.46,0.23,42.05,100.46,0.13,M5V,0.302,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,3,False,550280101990
1_0_0,550280101991,102.21,0.19,44.38,102.21,0.11,K0III,1.312,3500,200.0000,1.000,0.400,0.200,Bulge,Central Molecular Zone,0,False,550280101991
1_0_0,550280101992,100.61,0.21,46.71,100.61,0.12,DA,0.707,10000,0.0100,0.950,0.950,1.000,Bulge,Central Molecular Zone,0,True,550280101992
1_0_0,550280101993,102.35,0.23,52.38,102.35,0.13,K5V,0.605,4200,0.4000,1.000,0.850,0.650,Bulge,Central Molecular Zone,4,False,550280101993
1_0_0,550280101994,100.76,0.18,54.71,100.76,0.10,M5V,0.285,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,3,False,550280101994
1_0_0,550280101995,102.50,0.20,57.04,102.50,0.11,M5V,0.310,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,1,False,550280101995
1_0_0,550280101996,100.91,0.22,62.70,100.91,0.12,M5V,0.336,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,0,False,550280101996
1_0_0,550280101997,102.65,0.24,65.03,102.65,0.13,DA,0.483,10000,0.0100,0.950,0.950,1.000,Bulge,Central Molecular Zone,0,False,550280101997
1_0_0,550280101998,101.06,0.19,67.36,101.06,0.11,G5V,0.891,5500,1.0000,1.000,1.000,0.800,Bulge,Central Molecular Zone,3,True,550280101998
1_0_0,550280101999,102.80,0.21,73.02,102.80,0.12,M5V,0.293,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,2,False,550280101999
1_0_0,550280102000,101.21,0.23,75.35,101.21,0.13,M5V,0.319,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,0,False,550280102000
1_0_0,550280102001,102.95,0.19,77.68,102.95,0.11,M5V,0.344,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,2,False,550280102001
1_0_0,550280102002,101.36,0.20,80.01,101.36,0.11,DA,0.500,10000,0.0100,0.950,0.950,1.000,Bulge,Central Molecular Zone,0,False,550280102002
1_0_0,550280102003,103.10,0.22,85.68,103.10,0.12,G5V,0.918,5500,1.0000,1.000,1.000,0.800,Bulge,Central Molecular Zone,7,False,550280102003
1_0_0,550280102004,101.51,0.18,88.01,101.51,0.10,M5V,0.301,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,0,False,550280102004
1_0_0,550280102005,103.25,0.20,90.34,103.25,0.11,M5V,0.327,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,2,True,550280102005
1_0_0,550280102006,101.66,0.21,96.00,101.66,0.12,M5V,0.352,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,0,False,550280102006
1_0_0,550280102007,100.07,0.23,98.33,100.07,0.13,DA,0.516,10000,0.0100,0.950,0.950,1.000,Bulge,Central Molecular Zone,0,True,550280102007
1_0_0,550280102008,101.81,0.25,0.66,101.81,0.14,G5V,0.945,5500,1.0000,1.000,1.000,0.800,Bulge,Central Molecular Zone,4,False,550280102008
1_0_0,550280102009,100.22,0.26,6.32,100.22,0.15,M5V,0.309,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,3,False,550280102009
1_0_0,550280102010,101.96,0.28,8.65,101.96,0.16,M5V,0.335,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,1,False,550280102010
1_0_0,550280102011,100.37,0.24,10.98,100.37,0.14,M5V,0.240,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,3,False,550280102011
1_0_0,550280102012,102.11,0.26,16.65,102.11,0.15,K0III,1.064,3500,200.0000,1.000,0.400,0.200,Bulge,Central Molecular Zone,0,False,550280102012
1_0_0,550280102013,100.52,0.27,18.98,100.52,0.16,NS,1.360,1000000,0.0010,0.700,0.700,1.000,Bulge,Central Molecular Zone,0,True,550280102013
1_0_0,550280102014,102.26,0.30,21.31,102.26,0.17,M5V,0.317,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,1,False,550280102014
1_0_0,550280102015,100.67,0.25,23.64,100.67,0.14,M5V,0.343,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,3,False,550280102015
1_0_0,550280102016,102.41,0.27,29.30,102.41,0.15,M5V,0.248,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,1,False,550280102016
1_0_0,550280102017,100.82,0.28,31.63,100.82,0.16,K0III,1.096,3500,200.0000,1.000,0.400,0.200,Bulge,Central Molecular Zone,0,False,550280102017
1_0_0,550280102018,102.56,0.25,33.96,102.56,0.14,NS,1.398,1000000,0.0010,0.700,0.700,1.000,Bulge,Central Molecular Zone,0,False,550280102018
1_0_0,550280102019,100.96,0.26,39.62,100.97,0.15,K5V,0.759,4200,0.4000,1.000,0.850,0.650,Bulge,Central Molecular Zone,2,False,550280102019
1_0_0,550280102020,102.71,0.28,41.95,102.71,0.16,M5V,0.351,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,2,False,550280102020
1_0_0,550280102021,101.11,0.24,44.28,101.11,0.13,M5V,0.256,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,0,False,550280102021
1_0_0,550280102022,102.86,0.26,49.95,102.86,0.14,K0III,1.128,3500,200.0000,1.000,0.400,0.200,Bulge,Central Molecular Zone,0,False,550280102022
1_0_0,550280102023,101.26,0.27,52.28,101.26,0.15,NS,1.436,1000000,0.0010,0.700,0.700,1.000,Bulge,Central Molecular Zone,0,False,550280102023
1_0_0,550280102024,103.01,0.29,54.61,103.01,0.16,K5V,0.778,4200,0.4000,1.000,0.850,0.650,Bulge,Central Molecular Zone,5,False,550280102024
1_0_0,550280102025,101.41,0.25,56.94,101.41,0.14,M5V,0.359,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,0,False,550280102025
1_0_0,550280102026,103.15,0.27,62.60,103.16,0.15,M5V,0.264,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,2,False,550280102026
1_0_0,550280102027,101.56,0.28,64.93,101.56,0.16,K0III,1.160,3500,200.0000,1.000,0.400,0.200,Bulge,Central Molecular Zone,0,True,550280102027
1_0_0,550280102028,103.30,0.24,67.26,103.30,0.14,DA,0.631,10000,0.0100,0.950,0.950,1.000,Bulge,Central Molecular Zone,0,True,550280102028
1_0_0,550280102029,101.71,0.26,72.92,101.71,0.15,K5V,0.796,4200,0.4000,1.000,0.850,0.650,Bulge,Central Molecular Zone,3,False,550280102029
1_0_0,550280102030,100.12,0.27,75.25,100.12,0.16,M5V,0.247,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,3,False,550280102030
1_0_0,550280102031,101.86,0.29,77.58,101.86,0.17,M5V,0.273,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,1,False,550280102031
1_0_0,550280102032,100.27,0.25,83.25,100.27,0.14,K0III,1.193,3500,200.0000,1.000,0.400,0.200,Bulge,Central Molecular Zone,0,False,550280102032
1_0_0,550280102033,102.01,0.27,85.58,102.01,0.15,DA,0.648,10000,0.0100,0.950,0.950,1.000,Bulge,Central Molecular Zone,0,False,550280102033
1_0_0,550280102034,100.42,0.28,87.91,100.42,0.16,K5V,0.815,4200,0.4000,1.000,0.850,0.650,Bulge,Central Molecular Zone,6,False,550280102034
1_0_0,550280102035,102.16,0.25,90.24,102.16,0.14,M5V,0.255,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,1,False,550280102035
1_0_0,550280102036,100.57,0.26,95.90,100.57,0.15,M5V,0.281,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,3,False,550280102036
1_0_0,550280102037,102.31,0.28,98.23,102.31,0.16,M5V,0.306,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,1,False,550280102037
1_0_0,550280102038,100.72,0.29,0.56,100.72,0.17,DA,0.664,10000,0.0100,0.950,0.950,1.000,Bulge,Central Molecular Zone,0,False,550280102038
1_0_0,550280102039,102.46,0.32,6.22,102.46,0.18,G5V,1.192,5500,1.0000,1.000,1.000,0.800,Bulge,Central Molecular Zone,5,False,550280102039
1_0_0,550280102040,100.87,0.33,8.55,100.87,0.19,M5V,0.263,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,0,False,550280102040
1_0_0,550280102041,102.61,0.35,10.88,102.61,0.20,M5V,0.289,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,2,False,550280102041
1_0_0,550280102042,101.02,0.30,16.55,101.02,0.17,M5V,0.314,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,0,False,550280102042
1_0_0,550280102043,102.76,0.33,18.88,102.76,0.18,DA,0.680,10000,0.0100,0.950,0.950,1.000,Bulge,Central Molecular Zone,0,True,550280102043
1_0_0,550280102044,101.17,0.34,21.21,101.17,0.19,G5V,0.818,5500,1.0000,1.000,1.000,0.800,Bulge,Central Molecular Zone,3,False,550280102044
1_0_0,550280102045,102.91,0.30,23.54,102.91,0.17,M5V,0.271,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,2,False,550280102045
1_0_0,550280102046,101.32,0.32,29.20,101.32,0.18,M5V,0.297,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,0,False,550280102046
1_0_0,550280102047,103.06,0.34,31.53,103.06,0.19,M5V,0.322,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,2,False,550280102047
1_0_0,550280102048,101.47,0.35,33.86,101.47,0.20,DA,0.696,10000,0.0100,0.950,0.950,1.000,Bulge,Central Molecular Zone,0,False,550280102048
1_0_0,550280102049,103.21,0.31,39.52,103.21,0.17,G5V,0.845,5500,1.0000,1.000,1.000,0.800,Bulge,Central Molecular Zone,7,True,550280102049
1_0_0,550280102050,101.62,0.33,41.85,101.62,0.18,M5V,0.279,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,0,False,550280102050
1_0_0,550280102051,100.02,0.34,44.18,100.02,0.19,M5V,0.305,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,2,False,550280102051
1_0_0,550280102052,101.76,0.30,49.85,101.77,0.17,M5V,0.330,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,1,False,550280102052
1_0_0,550280102053,100.17,0.32,52.18,100.17,0.18,K0III,1.424,3500,200.0000,1.000,0.400,0.200,Bulge,Central Molecular Zone,0,False,550280102053
1_0_0,550280102054,101.91,0.34,54.51,101.91,0.19,NS,1.221,1000000,0.0010,0.700,0.700,1.000,Bulge,Central Molecular Zone,0,False,550280102054
