name,x,y,z,stellar_class,mass,temperature,luminosity,absolute_magnitude
Procyon B,11.183967,2.039215,0.638897,DQZ,0.6,7740,0.00049,13.0
"EZ Aquarii(Gliese 866, Luyten 789-6) B",7.375971,8.272112,-0.759676,M3V,0.327,3266,0.008618,11.67
61 Cygni B,3.12441,-10.650508,-2.617953,M5V,0.244,2977,0.001951,13.44
61 Cygni A,-6.971822,-5.916998,-6.814087,M5V,0.244,2977,0.001951,13.44
Struve 2398 B,5.328345,-4.299109,-9.228482,K5V,0.606,4366,0.195887,7.67
Struve 2398 A,-2.932195,8.387369,7.286478,K5V,0.606,4366,0.195887,7.67
GQ Andromedae,9.269266,1.812167,6.767587,M5V,0.244,2977,0.001951,13.44
GX Andromedae,9.269266,1.812167,6.767587,M5V,0.244,2977,0.001951,13.44
DX Cancri (G 51-15),-6.675813,8.528315,4.372274,M5V,0.244,2977,0.001951,13.44
Epsilon Indi,-8.599398,1.440833,-8.049847,M5V,0.244,2977,0.001951,13.44
Epsilon Indi B,-9.687568,6.815094,0.728839,M5V,0.244,2977,0.001951,13.44
Tau Ceti (BD-16¡295),10.29323,5.024143,-3.270839,M5V,0.244,2977,0.001951,13.44
GJ 1061 (LHS 1565),4.995772,6.933682,-8.401201,M3V,0.327,3266,0.008618,11.67
YZ Ceti (LHS 138),10.97635,3.729503,-3.543767,M5V,0.244,2977,0.001951,13.44
Luyten's Star (BD+05¡1668),-4.274655,11.526801,1.16001,M5V,0.244,2977,0.001951,13.44
Teegarden's Star (SO025300.5+165258),8.701438,8.203047,3.62905,M5V,0.244,2977,0.001951,13.44
Kapteyn's Star (CD-45¡1841),1.93149,8.971392,-8.967324,M5V,0.244,2977,0.001951,13.44
Lacaille 8760 (AX Microscopii),7.498348,-6.696108,-8.158854,M5V,0.244,2977,0.001951,13.44
SCR 1845-6357 A,1.141594,-5.618012,-11.738721,M5V,0.244,2977,0.001951,13.44
Kruger 60(BD+56¡2783) A,7.375819,0.119858,10.792153,M5V,0.244,2977,0.001951,13.44
DO Cephei,-12.359027,4.166496,0.88454,M5V,0.244,2977,0.001951,13.44
DENIS J1048-3956,7.614897,-6.572784,-8.536532,M5V,0.244,2977,0.001951,13.44
Ross 614 A,-10.739614,-5.361782,-5.872116,M5V,0.244,2977,0.001951,13.44
Ross 614 B,11.374192,6.603356,-2.364999,M5V,0.244,2977,0.001951,13.44
UGPS J0722-0540¤,2.77845,2.17996,-12.957349,M5V,0.244,2977,0.001951,13.44
"Wolf 1061 (Gliese 628, BD-12¡4523)",-5.054091,-12.742971,-3.078206,M3V,0.327,3266,0.008618,11.67
"Van Maanen's Star (Gliese 35, LHS 7)à",12.925917,5.402501,1.322575,M3V,0.327,3266,0.008618,11.67
Gliese 1 (CD-37¡15492),11.14339,1.661083,-8.601616,M3V,0.327,3266,0.008618,11.67
"TZ Arietis (Gliese 83.1, L 1159Ð16)",12.251905,7.181085,3.292557,M3V,0.327,3266,0.008618,11.67
"Wolf 424(FL Virginis, LHS 333, Gliese 473) A",-0.134442,14.062558,3.903897,M3V,0.327,3266,0.008618,11.67
"Wolf 424(FL Virginis, LHS 333, Gliese 473) B",-10.499644,-3.150059,9.6358,M3V,0.327,3266,0.008618,11.67
"Gliese 687 (LHS 450, BD+68¡946)",-1.059377,-5.370532,13.792964,M3V,0.327,3266,0.008618,11.67
Gliese 674 (LHS 449),-2.085225,-9.932325,-10.839718,M3V,0.327,3266,0.008618,11.67
LHS 292 (LP 731-58),-5.345164,1.850058,-13.752864,M5V,0.244,2977,0.001951,13.44
"Gliese 440 (WD 1142-645, LP 145-141)à",13.569125,6.664836,-0.389682,M3V,0.327,3266,0.008618,11.67
GJ 1245 A,-9.832463,-8.641783,-7.725626,M5V,0.244,2977,0.001951,13.44
GJ 1245 B,-12.36766,2.827253,8.372017,M5V,0.244,2977,0.001951,13.44
GJ 1245 C,0.760434,1.918289,-15.059381,M5V,0.244,2977,0.001951,13.44
WISE 1741+2553¤,2.985571,5.11585,14.020087,M8V,0.121,2544,0.00021,16.11
Gliese 876 (Ross 780),-6.947747,-6.982853,-11.62632,M3V,0.327,3266,0.008618,11.67
WISE 1639-6847¤,6.230838,6.146189,-12.593408,M8V,0.121,2544,0.00021,16.11
LHS 288 (Luyten 143-23),6.5283,-2.507341,14.121898,M5V,0.244,2977,0.001951,13.44
GJ 1002,-4.939318,14.494202,-3.918022,M5.5V,0.224,2905,0.001346,13.89
DENIS 0255-4700¤,-2.793727,15.304784,-3.168248,M5V,0.244,2977,0.001951,13.44
Groombridge 1618 (Gliese 380),9.960422,10.878012,-5.900366,M3V,0.327,3266,0.008618,11.67
WX Ursae Majoris,-4.613478,11.820202,-9.741635,M5V,0.244,2977,0.001951,13.44
Gliese 412 A,13.287046,2.131978,-8.649271,M1.0V,0.409,3555,0.038065,9.89
AD Leonis,3.422413,11.544601,10.828281,M3.0V,0.327,3266,0.008618,11.67
Gliese 832,9.862039,-8.653298,9.503516,M1.5V,0.388,3483,0.026257,10.33
Gliese 682 (CD-44 11909),5.992789,11.870296,9.483824,M3V,0.327,3266,0.008618,11.67
Keid (A),-6.061296,3.772525,14.689984,K0.5V,0.781,5116,0.536459,6.17
"Omicron2 Eridani(40 Eridani, Gliese 166) C",12.840129,1.914006,-9.911335,M3V,0.327,3266,0.008618,11.67
EV Lacertae,16.332748,0.133187,-2.164599,M3.5Ve,0.306,3194,0.005944,12.11
Altair (Alpha Aquilae) B,6.790214,-6.649742,-13.740857,M5V,0.244,2977,0.001951,13.44
Altair (Alpha Aquilae),14.984298,0.38943,7.430481,M5V,0.244,2977,0.001951,13.44
"EI Cancri (GJ 1116, G 9-38) A",7.792409,-0.349506,14.879388,M3V,0.327,3266,0.008618,11.67
"EI Cancri (GJ 1116, G 9-38) B",-0.889099,-4.690921,-16.107289,M3V,0.327,3266,0.008618,11.67
WISE J150649.97+702736.1¤,-8.066544,1.62646,14.710888,M8V,0.121,2544,0.00021,16.11
GJ 3379 (G 99-49),-4.353379,-15.354591,-5.814827,M3V,0.327,3266,0.008618,11.67
DENIS J081730.0-615520¤,-7.836279,1.868683,-14.972266,M5V,0.244,2977,0.001951,13.44
"Gliese 445 (LHS 2459, G 254-29)",8.954249,-12.685544,7.250401,M3V,0.327,3266,0.008618,11.67
2MASS J15404342-5101357,-4.164447,11.703426,-12.146445,M8V,0.121,2544,0.00021,16.11
"GJ 3323 (LHS 1723, LP 656-38)",15.46827,-1.111785,-8.174902,M3V,0.327,3266,0.008618,11.67
"Gliese 526 (Wolf 498, HD 119850)",-8.538745,9.692665,-12.139348,M3V,0.327,3266,0.008618,11.67
WISE 0350-5658¤,-0.253465,15.116747,9.470233,M8V,0.121,2544,0.00021,16.11
"Stein 2051 (Gliese 169.1, G 175-34) A",14.144739,2.108477,-10.918367,M3V,0.327,3266,0.008618,11.67
2MASS J11145133-2618235¤,5.163662,-17.334493,2.022859,M8V,0.121,2544,0.00021,16.11
"Gliese 251 (Wolf 294, HD 265866)",-12.215744,2.784391,13.220984,M3V,0.327,3266,0.008618,11.67
LP 816-60,-3.37794,16.653079,6.875442,M5V,0.244,2977,0.001951,13.44
LSR J1835+3259,6.792691,-15.729282,7.118826,M5V,0.244,2977,0.001951,13.44
"Gliese 205 (Wolf 1453, HD 36395)",-5.804649,17.433014,-2.91759,M3V,0.327,3266,0.008618,11.67
2MASS J04151954-0935066¤,2.844794,-13.687486,12.298954,M8V,0.121,2544,0.00021,16.11
Gliese 229 (HD 42581) A,13.623308,-12.451726,3.527981,M3V,0.327,3266,0.008618,11.67
Alsafi (Sigma Draconis),-12.735572,-0.242417,-13.826066,M5V,0.244,2977,0.001951,13.44
Ross 47 (Gliese 213),-3.803412,-18.056314,-4.033789,M3V,0.327,3266,0.008618,11.67
WISE 1541-2250¤,17.53707,-4.227353,5.73808,M8V,0.121,2544,0.00021,16.11
"Gliese 570(Lalande 27173, 33 G. Librae) B",10.799842,-14.666202,-6.070915,M3V,0.327,3266,0.008618,11.67
"Gliese 570(Lalande 27173, 33 G. Librae) D",-15.689404,10.035887,-4.659791,M5V,0.244,2977,0.001951,13.44
"Gliese 570(Lalande 27173, 33 G. Librae) C",-2.801664,1.73095,18.914137,M3V,0.327,3266,0.008618,11.67
Gliese 693 (Luyten 205Ð128),-5.709964,-14.167828,11.645108,M3V,0.327,3266,0.008618,11.67
Gliese 754 (Luyten 347Ð14),17.605556,-2.918489,-7.276827,M3V,0.327,3266,0.008618,11.67
"Gliese 908 (Lalande 46650, BR Piscium)",-10.546558,-0.726243,-16.116731,M3V,0.327,3266,0.008618,11.67
"Gliese 752 (Wolf 1055, HD 180617) A",-5.076456,15.341234,-10.538743,M3V,0.327,3266,0.008618,11.67
VB 10,4.396024,12.382184,14.126057,M5V,0.244,2977,0.001951,13.44
Gliese 588 (CD-40 9712),1.449372,-16.703491,-9.558624,M3V,0.327,3266,0.008618,11.67
Achird (A),14.286577,10.329781,7.930471,M5V,0.244,2977,0.001951,13.44
Eta Cassiopeiae (Gliese 34) B,-17.253167,-3.685935,-7.902224,M3V,0.327,3266,0.008618,11.67
Guniibuu (A),-10.108057,-11.009457,12.397466,M5V,0.244,2977,0.001951,13.44
Achird (A) C,-4.923584,15.311458,10.88098,M5V,0.244,2977,0.001951,13.44
"YZ Canis Minoris (Ross 882, Gliese 285)",3.42897,-9.388772,-16.781872,M3V,0.327,3266,0.008618,11.67
"GJ 1005 (Luyten 722-22, G 158-50) A",-8.353436,1.254085,-17.660869,M3V,0.327,3266,0.008618,11.67
"GJ 1005 (Luyten 722-22, G 158-50) B",14.095062,-7.11531,-11.574131,M3V,0.327,3266,0.008618,11.67
"HR 7703 (279 G. Sagittarii, HD 191408, Gliese 783, IRAS 20079-3614) B",-4.108464,-19.032547,2.322838,M3V,0.327,3266,0.008618,11.67
"82 G. Eridani (e Eridani, Gliese 139, HD 20794)",15.490622,2.309101,-11.957258,M3V,0.327,3266,0.008618,11.67
"Gliese 268 (Ross 986, QY Aurigae) A",-12.262011,14.697035,4.833541,M3V,0.327,3266,0.008618,11.67
"Gliese 268 (Ross 986, QY Aurigae) B",12.066806,0.758849,-15.605743,M3V,0.327,3266,0.008618,11.67
Delta Pavonis,-14.279811,-9.299196,-10.263693,M5V,0.244,2977,0.001951,13.44
SIMP J013656.5+093347¤,-6.752181,4.152363,-18.313054,M5V,0.244,2977,0.001951,13.44
2MASS 0937+2931¤,18.927802,6.334745,0.104423,M8V,0.121,2544,0.00021,16.11
Gliese 784 (HD 191849),10.881221,-9.994171,-13.63726,M3V,0.327,3266,0.008618,11.67
WISE J2209+2711¤,13.989968,-14.528899,-0.144131,M8V,0.121,2544,0.00021,16.11
"G 240-72 (LHS 455, GJ 1221, EGGR 372)à",-15.171333,-9.405505,-9.580508,M3V,0.327,3266,0.008618,11.67
"Gliese 555 (Wolf 1481, HN Librae, BD-11 3759)",14.645203,13.714576,3.656806,M3V,0.327,3266,0.008618,11.67
"EQ Pegasi (Gliese 896, BD+19 5116) A",10.659716,-4.61235,-16.804393,M3V,0.327,3266,0.008618,11.67
"EQ Pegasi (Gliese 896, BD+19 5116) B",10.659716,-4.61235,-16.804393,M3V,0.327,3266,0.008618,11.67
"Gliese 581 (Wolf 562, HO Librae)",-14.610815,3.593654,13.995984,M3V,0.327,3266,0.008618,11.67
WISE 1405+5534¤,0.888834,1.853885,-20.517248,M8V,0.121,2544,0.00021,16.11
"ADS 7251 (HD 79210, Gliese 338, MCC 541) B",20.195446,-1.22017,-4.169824,M3V,0.327,3266,0.008618,11.67
"ADS 7251 (HD 79210, Gliese 338, MCC 541) A",20.195447,-1.22017,-4.169824,M3V,0.327,3266,0.008618,11.67
LHS 2090 (LP 368-128),-13.542217,-13.336973,-8.296466,M5V,0.244,2977,0.001951,13.44
"Furuhjelm 46 (HD 155876, Gliese 661) B",-14.2179,7.104495,-13.448043,M3V,0.327,3266,0.008618,11.67
"Furuhjelm 46 (HD 155876, Gliese 661) A",-2.460107,16.584984,-12.343363,M3V,0.327,3266,0.008618,11.67
2MASS 1503+2525¤,-13.135776,-10.385115,12.57316,M8V,0.121,2544,0.00021,16.11
LP 944-20¤,-5.941028,20.098619,-0.366334,M5V,0.244,2977,0.001951,13.44
LP 658-2 (EGGR 45)à,2.654374,-0.966516,20.81943,M5V,0.244,2977,0.001951,13.44
GL Virginis (G 12-30),7.554025,10.547254,16.619069,M5V,0.244,2977,0.001951,13.44
"Gliese 625 (AC 54 1646-56, G 202-48)",-17.27039,2.984059,-11.804402,M3V,0.327,3266,0.008618,11.67
Gliese 644 A,4.779717,-20.248089,-4.055101,M3V,0.327,3266,0.008618,11.67
Gliese 644 Bb,4.779717,-20.248089,-4.055101,M4Ve,0.286,3122,0.0041,12.56
Gliese 643,4.779717,-20.248089,-4.055101,M3.5V,0.306,3194,0.005944,12.11
Gliese 644 Ba,4.779717,-20.248089,-4.055101,M4Ve,0.286,3122,0.0041,12.56
vB 8 (Gliese 644 C),4.779717,-20.248089,-4.055101,M3V,0.327,3266,0.008618,11.67
GJ 1128 (L 100-115),1.920818,-19.21432,8.779153,M3V,0.327,3266,0.008618,11.67
"HD 219134 (HR 8832, Gliese 892)",-4.509676,-2.752783,-20.671888,M3V,0.327,3266,0.008618,11.67
WISE 0825+2805¤,6.116487,-20.088207,3.966034,M8V,0.121,2544,0.00021,16.11
WISE 0410+1502¤,21.302338,-3.199684,-0.897781,M8V,0.121,2544,0.00021,16.11
WISE J0521+1025¤,14.009232,-16.059752,4.141242,M8V,0.121,2544,0.00021,16.11
"GJ 3737 (LHS 337, L 471-42)",-16.136919,-0.392541,-14.551391,M3V,0.327,3266,0.008618,11.67
Gliese 408 (Ross 104),17.128801,3.819916,-13.280395,M3V,0.327,3266,0.008618,11.67
Gliese 299 (Ross 619),15.433597,-1.84959,15.680094,M3V,0.327,3266,0.008618,11.67
GJ 3522 (G 41-14) A,-7.301893,19.590374,-7.101126,M3V,0.327,3266,0.008618,11.67
GJ 3522 (G 41-14) C,-7.301893,19.590374,-7.101126,M3V,0.327,3266,0.008618,11.67
GJ 3522 (G 41-14) B,-16.228225,12.46691,-8.291397,M3V,0.327,3266,0.008618,11.67
Gliese 829 (Ross 775) B,14.728292,10.41605,12.7892,M3V,0.327,3266,0.008618,11.67
Gliese 829 (Ross 775) A,14.728293,10.41605,12.789201,M3V,0.327,3266,0.008618,11.67
Scholz's Star A,-1.801548,17.783,-13.115954,M9.5,0.419,2851,0.02861,15.01
WISE 1928+2356¤,-18.025993,12.813937,-2.695361,M8V,0.121,2544,0.00021,16.11
WISE J0254+0223¤,18.593153,0.183275,12.3468,M8V,0.121,2544,0.00021,16.11
LTT 1445 (BD-17 588) A,3.623741,-21.901801,2.888582,M5V,0.244,2977,0.001951,13.44
LTT 1445 (BD-17 588) B,3.623742,-21.901802,2.888582,M5V,0.244,2977,0.001951,13.44
LTT 1445 (BD-17 588) C,3.623742,-21.901802,2.888582,M5V,0.244,2977,0.001951,13.44
Gliese 880 (HD 216899),16.675763,-14.686633,-2.803705,M3V,0.327,3266,0.008618,11.67
CWISE J1055+5443¤,-16.208933,-10.742741,-11.318746,M8V,0.121,2544,0.00021,16.11
"Gliese 402 (EE Leonis, Wolf 358)",21.370094,5.296133,-5.619795,M3V,0.327,3266,0.008618,11.67
Gliese 393 (BD+01 2447),4.888608,-2.409197,22.296992,M3V,0.327,3266,0.008618,11.67
Gliese 809 (HD 199305),2.677959,-1.654221,22.743212,M3V,0.327,3266,0.008618,11.67
LSPM J2146+3813 (UCAC4 642-113039),-16.234135,14.158234,8.021487,M5V,0.244,2977,0.001951,13.44
"LHS 3003 (GJ 3877, LP 914-54)",7.284986,-13.490413,17.148637,M3V,0.327,3266,0.008618,11.67
WISE 2056+1459¤,13.083717,19.073363,-1.18692,M8V,0.121,2544,0.00021,16.11
GJ 1068 (L 230-188),-23.130488,-0.163012,1.529879,M3V,0.327,3266,0.008618,11.67
WISE J004945.61+215120.0¤,8.245375,-15.752757,-14.949827,M8V,0.121,2544,0.00021,16.11
GJ 1286 (G 157-77),22.688741,-2.194561,-5.320837,M3V,0.327,3266,0.008618,11.67
"Gliese 105 (268 G. Ceti, HD 16160) B",18.52153,2.760901,-14.296826,M3V,0.327,3266,0.008618,11.67
"Gliese 105 (268 G. Ceti, HD 16160) C",18.52153,2.760901,-14.296826,M3V,0.327,3266,0.008618,11.67
2MASS J08354256-0819237¤,-8.289852,15.006509,16.190943,M8V,0.121,2544,0.00021,16.11
GJ 4274 (L 788-34),0.884357,23.205206,-4.181381,M3V,0.327,3266,0.008618,11.67
Gliese 667 (142 G. Scorpii) C,18.547981,14.330796,2.94215,M3V,0.327,3266,0.008618,11.67
WISE 0607+2429¤,4.302698,-22.666023,-5.082475,M8V,0.121,2544,0.00021,16.11
WISE 0313+7807¤,16.18885,17.56674,-2.780876,M8V,0.121,2544,0.00021,16.11
2MASS 1507-1627¤,8.673021,-7.996135,21.094575,M8V,0.121,2544,0.00021,16.11
"HD 4628 (96 G. Piscium, Gliese 33)",5.361118,18.979456,-14.110321,M3V,0.327,3266,0.008618,11.67
Beta Hydri,8.535096,19.937984,11.019613,M5V,0.244,2977,0.001951,13.44
WISE J2000+3629¤,15.06972,7.426219,17.763932,M8V,0.121,2544,0.00021,16.11
GJ 3991 (G 203-47) A,-22.461966,9.288551,4.840409,M3V,0.327,3266,0.008618,11.67
GJ 3991 (G 203-47) B,-22.461967,9.288551,4.840409,M3V,0.327,3266,0.008618,11.67
TW Piscis Austrini,-4.306108,-24.373181,-1.446842,M5V,0.244,2977,0.001951,13.44
107 Piscium,-7.191913,-20.129895,-12.583789,M5V,0.244,2977,0.001951,13.44
G 141-36,-15.193828,-10.918514,16.345728,M5V,0.244,2977,0.001951,13.44
Gliese 514 (BD+11 2576),-20.430224,8.565557,11.320865,M3V,0.327,3266,0.008618,11.67
WISE 1738+2732¤,1.293258,-24.854046,1.268955,M8V,0.121,2544,0.00021,16.11
GJ 4053 (G 258-33),4.291942,24.487315,1.79616,M3V,0.327,3266,0.008618,11.67
WISE J2354+0240¤,5.015224,-18.301818,16.229352,M8V,0.121,2544,0.00021,16.11
GJ 4248 (L 499-56),-22.520797,-4.523944,9.886743,M3V,0.327,3266,0.008618,11.67
Mu Cassiopeiae (Gliese 53) B,3.011125,7.091077,-23.818078,M3V,0.327,3266,0.008618,11.67
LP 876-10,-1.169329,-12.585734,21.611879,M5V,0.244,2977,0.001951,13.44
Vega (Alpha Lyrae),-13.30661,-15.813775,-14.146048,M5V,0.244,2977,0.001951,13.44
VX Arietis (Gliese 109),19.693989,2.935673,-15.20185,M3V,0.327,3266,0.008618,11.67
Fomalhaut,-3.502349,1.540361,-24.832976,M5V,0.244,2977,0.001951,13.44
AN Sextantis (Gliese 382),-7.712142,-9.002874,-22.165508,M3V,0.327,3266,0.008618,11.67
Gliese 673 (HD 157881),25.04256,2.152639,1.06591,M3V,0.327,3266,0.008618,11.67
SIPS 1259-4336,-18.916355,9.765689,13.484911,M5V,0.244,2977,0.001951,13.44
"LHS 1070 (LP 881-64, GJ 2005) B",-19.018165,-16.521237,1.227757,M3V,0.327,3266,0.008618,11.67
"LHS 1070 (LP 881-64, GJ 2005) A",-7.91677,1.73137,-23.884648,M3V,0.327,3266,0.008618,11.67
"LHS 1070 (LP 881-64, GJ 2005) C",-7.91677,1.73137,-23.884648,M3V,0.327,3266,0.008618,11.67
G 192-13 (GJ 3378),-17.038,-18.409347,-2.660426,M3V,0.327,3266,0.008618,11.67
Gliese 701 (HD 165222),-19.508872,15.451322,4.213485,M3V,0.327,3266,0.008618,11.67
GJ 1093 (G 109-35),-13.209851,-19.083311,10.03538,M3V,0.327,3266,0.008618,11.67
LP 71-82 (G 227-22),-16.780781,-15.212017,11.540866,M5V,0.244,2977,0.001951,13.44
WISE 1800+0134¤,-21.894645,-9.584185,8.802774,M8V,0.121,2544,0.00021,16.11
Gliese 623 A,-16.91039,-18.587849,4.808618,M3V,0.327,3266,0.008618,11.67
Gliese 623 B,-6.519229,-23.854473,-6.56171,M3V,0.327,3266,0.008618,11.67
WISE J0005+3737¤,-18.305029,-12.034532,-13.438228,M8V,0.121,2544,0.00021,16.11
Gliese 54 (CD-68 47) A,-21.929932,-10.467154,-8.373145,M3V,0.327,3266,0.008618,11.67
Gliese 54 (CD-68 47) B,7.668785,19.181632,15.292074,M3V,0.327,3266,0.008618,11.67
2MASS 0729-39¤,-13.604023,-18.928874,-11.104084,M8V,0.121,2544,0.00021,16.11
GJ 1224 (G 154-44),23.536968,-5.508997,9.570499,M3V,0.327,3266,0.008618,11.67
SCR J0740-4257,2.101379,5.162222,-25.425785,M5V,0.244,2977,0.001951,13.44
"BB Capricorni (Wolf 922, Gliese 831) B",2.10142,5.162321,-25.426273,M3V,0.327,3266,0.008618,11.67
"BB Capricorni (Wolf 922, Gliese 831) A",20.775673,-13.985276,-7.095378,M3V,0.327,3266,0.008618,11.67
Gliese 257 (CD-44 3045) A,-20.594913,13.540582,-8.965418,M3V,0.327,3266,0.008618,11.67
Gliese 257 (CD-44 3045) B,-20.594913,13.540582,-8.965418,M3V,0.327,3266,0.008618,11.67
GJ 1151 (G 122-49),-18.53361,-5.059297,-17.859848,M3V,0.327,3266,0.008618,11.67
Gliese 480.1 (L 399-68),-4.000201,6.075418,25.236277,M3V,0.327,3266,0.008618,11.67
Pi3 Orionis (Tabit),-19.143765,-17.655054,-3.787774,M5V,0.244,2977,0.001951,13.44
Gliese 486 (Wolf 437/Gar),4.61284,-9.484143,-24.148019,M3V,0.327,3266,0.008618,11.67
2MASS J21481628+4003593¤,-3.464794,-20.311131,16.456915,M8V,0.121,2544,0.00021,16.11
Gliese 793 (G 262-15),-9.972608,-8.953866,-22.71761,M3V,0.327,3266,0.008618,11.67
GJ 1154 (G 13-22),6.109067,25.66158,-0.09491,M3V,0.327,3266,0.008618,11.67
Gliese 300 (L 674-15),-8.382775,23.404818,-9.097433,M3V,0.327,3266,0.008618,11.67
"G 99-47 (EGGR 290, GJ 1087)à",11.440529,19.622153,-13.599929,M3V,0.327,3266,0.008618,11.67
Gliese 686,24.877067,-7.281415,6.031162,M3V,0.327,3266,0.008618,11.67
"Gliese 293 (LAWD 26, L 97-12)à",8.057471,-4.77561,-24.943298,M3V,0.327,3266,0.008618,11.67
UGPS J0521+3640¤,-16.831405,10.523663,17.841313,M5V,0.244,2977,0.001951,13.44
L 173-19,5.362119,-24.308687,-9.923654,M5V,0.244,2977,0.001951,13.44
Gliese 884 (HD 217357),10.203961,6.210986,24.046539,M3V,0.327,3266,0.008618,11.67
Gliese 48 (Ross 318),6.93684,3.852735,-25.653855,M3V,0.327,3266,0.008618,11.67
WISEPC J115013.88+630240.7¤,3.711164,23.011606,13.367504,M8V,0.121,2544,0.00021,16.11
Gliese 747 (G 207-16) A,-20.098532,-7.845359,16.454583,M3V,0.327,3266,0.008618,11.67
Gliese 747 (G 207-16) B,0.075615,26.227006,-6.956468,M3V,0.327,3266,0.008618,11.67
2MASS 0348-6022¤,16.84163,-10.182851,-18.717228,M8V,0.121,2544,0.00021,16.11
"WD 2359-434 (LAWD 96, Gliese 915)à",13.356166,-21.280649,10.357692,M3V,0.327,3266,0.008618,11.67
Mu Herculis B,-23.934336,12.426744,-3.521419,M5V,0.244,2977,0.001951,13.44
Mu Herculis Aa,18.666563,16.051382,-11.558087,M5V,0.244,2977,0.001951,13.44
Mu Herculis C,18.666563,16.051382,-11.558087,M5V,0.244,2977,0.001951,13.44
Mu Herculis Ab,18.666563,16.051382,-11.558087,M5V,0.244,2977,0.001951,13.44
Wolf 489à,7.120222,13.537675,-22.533831,M3.5V,0.306,3194,0.005944,12.11
GJ 1227 (G 227-29),23.360754,11.639163,7.784906,M3V,0.327,3266,0.008618,11.67
GJ 1289 (G 130-4),26.366986,1.931687,-6.706434,M3V,0.327,3266,0.008618,11.67
Gliese 185 (HD 32450) B,21.443401,3.196448,-16.552226,M3V,0.327,3266,0.008618,11.67
Gliese 185 (HD 32450) A,21.443401,3.196448,-16.552226,M3V,0.327,3266,0.008618,11.67
SCR 1138-7721,-11.145801,-19.011336,-16.163144,M5V,0.244,2977,0.001951,13.44
SCR J1546-5534 A,10.342178,-15.709523,-19.911362,M5V,0.244,2977,0.001951,13.44
2MASS J00345157+0523050¤,-13.277958,13.530392,19.852628,M8V,0.121,2544,0.00021,16.11
UCAC4 747-070768,-6.581503,-26.478607,-4.189034,M5V,0.244,2977,0.001951,13.44
IRAS 21500+5903,19.015001,4.386428,-19.523571,M5V,0.244,2977,0.001951,13.44
Beta Canum Venaticorum (Chara),-11.269345,-7.129937,-24.203385,M5V,0.244,2977,0.001951,13.44
Gliese 232 (Ross 64),23.353669,7.560187,-12.845021,M3V,0.327,3266,0.008618,11.67
Gliese 618 (CD-37 10765) B,-6.635087,-4.660683,-26.554325,M3V,0.327,3266,0.008618,11.67
Gliese 618 (CD-37 10765) A,-6.635087,-4.660683,-26.554326,M3V,0.327,3266,0.008618,11.67
"Gliese 318 (CD-32 5613, LAWD 28)à",11.359808,-24.473655,6.623279,M3V,0.327,3266,0.008618,11.67
61 Virginis,3.215659,-25.262747,11.238152,M5V,0.244,2977,0.001951,13.44
GJ 1276 (EGGR 453)à,-0.652171,-15.247272,-23.288654,M3V,0.327,3266,0.008618,11.67
Gliese 493.1 (Wolf 461),0.514204,19.448928,19.953846,M3V,0.327,3266,0.008618,11.67
GJ 3454 (G 89-32) B,21.435125,-13.955921,11.317622,M3V,0.327,3266,0.008618,11.67
